complaint_id,created_at,language,complaint_text,normalized_text,category,department,priority,location_type,specific_location,affected_population,safety_flag,repeat_count,is_duplicate,duplicate_of_id,resolution_time_hours,status,resolution_notes
CMP-02238,2026-01-01 08:43:00,ta_en,"Main Canteen la food quality poor ah iruku, immediate ah solve pannunga.",main canteen la food quality poor ah iruku immediate ah solve pannunga,Food and Canteen,Canteen Committee,High,Canteen,Main Canteen,79,1,2,0,,7.55,Closed,Synthetic resolution record
CMP-02888,2026-01-01 08:56:00,ta_en,ID card request delay aagudhu at Academic Office. Kindly action edunga.,id card request delay aagudhu at academic office kindly action edunga,Administration and Documents,Administrative Office,Low,Office,Academic Office,13,0,0,0,,64.55,Closed,Synthetic resolution record
CMP-01107,2026-01-01 11:42:00,ta_en,Central Library Reading Hall area la internet romba slow ah iruku.,central library reading hall area la internet romba slow ah iruku,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Library,Central Library Reading Hall,138,0,1,0,,14.56,Closed,Synthetic resolution record
CMP-00665,2026-01-01 12:03:00,ta_en,"Boys Hostel Washroom la pipe la water leak aagudhu, immediate ah solve pannunga.",boys hostel washroom la pipe la water leak aagudhu immediate ah solve pannunga,Water and Plumbing,Plumbing and Civil Maintenance,High,Canteen,Boys Hostel Washroom,129,0,2,0,,16.53,In Progress,
CMP-02261,2026-01-01 12:23:00,ta_en,ID card request delay aagudhu at Accounts Office. Kindly action edunga.,id card request delay aagudhu at accounts office kindly action edunga,Administration and Documents,Administrative Office,Low,Office,Accounts Office,3,0,1,0,,188.6,In Progress,
CMP-02141,2026-01-01 12:34:00,en,Please check a vehicle is blocking the campus entrance at Route 3 Bus Stop.,please check a vehicle is blocking the campus entrance at route 3 bus stop,Transport and Parking,Transport Cell,Low,Parking,Route 3 Bus Stop,85,0,1,0,,21.18,In Progress,
CMP-01623,2026-01-01 13:01:00,ta,North Canteen இல் உணவு சுகாதாரமற்றதாக உள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,north canteen இல உணவ ச க த ரமற றத க உள ளத உடனட ய க நடவட க க எட க கவ ம,Food and Canteen,Canteen Committee,Low,Canteen,North Canteen,157,0,0,0,,19.84,Open,
CMP-03802,2026-01-01 13:15:00,en,Please check the ERP login is failing at Central Library Reading Hall.,please check the erp login is failing at central library reading hall,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Library,Central Library Reading Hall,83,0,2,1,CMP-01107,3.6,Resolved,Synthetic resolution record
CMP-01053,2026-01-01 13:22:00,en,Urgent attention is needed because the room door lock is broken in Boys Hostel Block B.,urgent attention is needed because the room door lock is broken in boys hostel block b,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Boys Hostel Block B,163,0,2,0,,14.2,In Progress,
CMP-01501,2026-01-01 13:40:00,ta_en,window damage aagiruku at Boys Hostel Block B. Kindly action edunga.,window damage aagiruku at boys hostel block b kindly action edunga,Hostel and Accommodation,Hostel Administration,High,Hostel,Boys Hostel Block B,65,0,0,0,,21.02,Closed,Synthetic resolution record
CMP-01646,2026-01-01 16:54:00,ta_en,C-101 area la classroom ventilation poor ah iruku.,c 101 area la classroom ventilation poor ah iruku,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,39,0,2,0,,34.75,Resolved,Synthetic resolution record
CMP-00402,2026-01-01 17:48:00,en,Please check the bus route was changed without notice at Route 2 Bus Stop.,please check the bus route was changed without notice at route 2 bus stop,Transport and Parking,Transport Cell,Critical,Campus Road,Route 2 Bus Stop,142,0,1,0,,7.28,Resolved,Synthetic resolution record
CMP-01073,2026-01-01 18:02:00,ta_en,Engineering Block area la current supply illa.,engineering block area la current supply illa,Electrical and Power,Electrical Maintenance,Medium,Classroom,Engineering Block,60,0,2,0,,25.76,In Progress,
CMP-02733,2026-01-01 19:17:00,ta,Computer Laboratory பகுதியில் மின்சார சுவிட்ச் சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,computer laboratory பக த ய ல ம ன ச ர ச வ ட ச ச தமட ந த ள ளத தயவ ச ய த சர ச ய யவ ம,Electrical and Power,Electrical Maintenance,Low,Laboratory,Computer Laboratory,45,0,1,0,,11.53,In Progress,
CMP-01485,2026-01-01 19:34:00,ta_en,"C-204 la AC work aagala, immediate ah solve pannunga.",c 204 la ac work aagala immediate ah solve pannunga,Classroom and Laboratory,Academic Infrastructure,High,Classroom,C-204,43,0,0,0,,11.93,Closed,Synthetic resolution record
CMP-02039,2026-01-01 20:18:00,en,There is a problem because the canteen service is very slow at North Canteen.,there is a problem because the canteen service is very slow at north canteen,Food and Canteen,Canteen Committee,High,Canteen,North Canteen,67,1,2,0,,15.46,Resolved,Synthetic resolution record
CMP-02929,2026-01-02 08:47:00,en,There is a problem because the projector is not displaying at Electronics Laboratory.,there is a problem because the projector is not displaying at electronics laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,Electronics Laboratory,22,0,2,0,,32.85,Open,
CMP-00642,2026-01-02 09:55:00,ta_en,Central Library Reading Hall la ERP login aagala. Please check pannunga.,central library reading hall la erp login aagala please check pannunga,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,Central Library Reading Hall,32,0,1,0,,4.29,Closed,Synthetic resolution record
