complaint_id,created_at,complaint_text,category,language,actual_is_duplicate,actual_duplicate_of_id,top_match_id,top_similarity,candidate_ids,original_rank,top1_exact_original_match,top5_exact_original_match
CMP-02238,2026-01-01 08:43:00,"Main Canteen la food quality poor ah iruku, immediate ah solve pannunga.",Food and Canteen,ta_en,0,,,0.0,,,0,0
CMP-02888,2026-01-01 08:56:00,ID card request delay aagudhu at Academic Office. Kindly action edunga.,Administration and Documents,ta_en,0,,CMP-02238,0.1228,CMP-02238,,0,0
CMP-01107,2026-01-01 11:42:00,Central Library Reading Hall area la internet romba slow ah iruku.,Wi-Fi and IT Services,ta_en,0,,CMP-02888,0.4106,CMP-02888|CMP-02238,,0,0
CMP-00665,2026-01-01 12:03:00,"Boys Hostel Washroom la pipe la water leak aagudhu, immediate ah solve pannunga.",Water and Plumbing,ta_en,0,,CMP-02238,0.5458,CMP-02238|CMP-01107|CMP-02888,,0,0
CMP-02261,2026-01-01 12:23:00,ID card request delay aagudhu at Accounts Office. Kindly action edunga.,Administration and Documents,ta_en,0,,CMP-02888,0.9222,CMP-02888|CMP-01107|CMP-02238|CMP-00665,,0,0
CMP-02141,2026-01-01 12:34:00,Please check a vehicle is blocking the campus entrance at Route 3 Bus Stop.,Transport and Parking,en,0,,CMP-02888,0.2431,CMP-02888|CMP-01107|CMP-00665|CMP-02261|CMP-02238,,0,0
CMP-01623,2026-01-01 13:01:00,North Canteen இல் உணவு சுகாதாரமற்றதாக உள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,Food and Canteen,ta,0,,CMP-02238,0.601,CMP-02238|CMP-00665|CMP-01107|CMP-02261|CMP-02141,,0,0
CMP-03802,2026-01-01 13:15:00,Please check the ERP login is failing at Central Library Reading Hall.,Wi-Fi and IT Services,en,1,CMP-01107,CMP-01107,0.5774,CMP-01107|CMP-02261|CMP-02888|CMP-02141|CMP-00665,1.0,1,1
CMP-01053,2026-01-01 13:22:00,Urgent attention is needed because the room door lock is broken in Boys Hostel Block B.,Hostel and Accommodation,en,0,,CMP-00665,0.5469,CMP-00665|CMP-02141|CMP-03802|CMP-01107|CMP-01623,,0,0
CMP-01501,2026-01-01 13:40:00,window damage aagiruku at Boys Hostel Block B. Kindly action edunga.,Hostel and Accommodation,ta_en,0,,CMP-01053,0.6881,CMP-01053|CMP-00665|CMP-02141|CMP-02888|CMP-02261,,0,0
CMP-01646,2026-01-01 16:54:00,C-101 area la classroom ventilation poor ah iruku.,Classroom and Laboratory,ta_en,0,,CMP-00665,0.5462,CMP-00665|CMP-01053|CMP-01501|CMP-01107|CMP-03802,,0,0
CMP-00402,2026-01-01 17:48:00,Please check the bus route was changed without notice at Route 2 Bus Stop.,Transport and Parking,en,0,,CMP-02141,0.6366,CMP-02141|CMP-01623|CMP-03802|CMP-01053|CMP-01501,,0,0
CMP-01073,2026-01-01 18:02:00,Engineering Block area la current supply illa.,Electrical and Power,ta_en,0,,CMP-01501,0.3299,CMP-01501|CMP-00665|CMP-01623|CMP-01053|CMP-01646,,0,0
CMP-02733,2026-01-01 19:17:00,Computer Laboratory பகுதியில் மின்சார சுவிட்ச் சேதமடைந்துள்ளது. தயவுசெய்து சரிசெய்யவும்.,Electrical and Power,ta,0,,CMP-01073,0.4136,CMP-01073|CMP-01646|CMP-00665|CMP-01623|CMP-01107,,0,0
CMP-01485,2026-01-01 19:34:00,"C-204 la AC work aagala, immediate ah solve pannunga.",Classroom and Laboratory,ta_en,0,,CMP-02238,0.4482,CMP-02238|CMP-01646|CMP-00665|CMP-02733|CMP-01073,,0,0
CMP-02039,2026-01-01 20:18:00,There is a problem because the canteen service is very slow at North Canteen.,Food and Canteen,en,0,,CMP-01623,0.6675,CMP-01623|CMP-02238|CMP-01107|CMP-00665|CMP-03802,,0,0
CMP-02929,2026-01-02 08:47:00,There is a problem because the projector is not displaying at Electronics Laboratory.,Classroom and Laboratory,en,0,,CMP-02733,0.5038,CMP-02733|CMP-03802|CMP-01107|CMP-01073|CMP-01646,,0,0
