complaint_id,created_at,language,complaint_text,normalized_text,category,department,priority,location_type,specific_location,affected_population,safety_flag,repeat_count,is_duplicate,duplicate_of_id,resolution_time_hours,status,resolution_notes
CMP-0001,2026-08-01 08:15:00,en,"There is no water supply in Hostel Block B since morning.","there is no water supply in hostel block b since morning","Water and Plumbing","Plumbing and Civil Maintenance",High,Hostel,"Hostel Block B",180,0,1,0,,12.0,Resolved,"Water pump valve repaired"
CMP-0002,2026-08-01 08:40:00,ta_en,"Hostel Block B la morning la irundhu water varala.","hostel block b la morning la irundhu water varala","Water and Plumbing","Plumbing and Civil Maintenance",High,Hostel,"Hostel Block B",180,0,2,1,CMP-0001,11.5,Resolved,"Linked to CMP-0001"
CMP-0003,2026-08-01 09:10:00,en,"The fan in classroom C-204 is not working.","the fan in classroom c 204 is not working","Electrical and Power","Electrical Maintenance",Medium,Classroom,"C-204",45,0,0,0,,18.0,Open,
CMP-0004,2026-08-01 09:35:00,ta,"சி-204 வகுப்பறையில் மின்விசிறி வேலை செய்யவில்லை.","சி 204 வகுப்பறையில் மின்விசிறி வேலை செய்யவில்லை","Electrical and Power","Electrical Maintenance",Medium,Classroom,"C-204",45,0,1,1,CMP-0003,17.0,In Progress,"Technician assigned"
CMP-0005,2026-08-01 10:00:00,en,"Wi-Fi is unavailable in the central library reading hall.","wi fi is unavailable in the central library reading hall","Wi-Fi and IT Services","IT Support and Network Cell",High,Library,"Central Library Reading Hall",120,0,0,0,,9.0,Resolved,"Access point restarted"
CMP-0006,2026-08-01 10:20:00,ta_en,"Library reading hall la wifi connect aagala.","library reading hall la wifi connect aagala","Wi-Fi and IT Services","IT Support and Network Cell",High,Library,"Central Library Reading Hall",120,0,1,1,CMP-0005,8.5,Resolved,"Linked to CMP-0005"
CMP-0007,2026-08-01 11:00:00,en,"Water is leaking near the electrical panel in the engineering block.","water is leaking near the electrical panel in the engineering block","Safety and Security","Security Office",Critical,"Campus Building","Engineering Block",200,1,0,0,,2.0,Resolved,"Area isolated and electrical team notified"
CMP-0008,2026-08-01 11:30:00,ta_en,"Engineering block electrical panel pakkathula water leak aagudhu.","engineering block electrical panel pakkathula water leak aagudhu","Safety and Security","Security Office",Critical,"Campus Building","Engineering Block",200,1,1,1,CMP-0007,1.5,Resolved,"Linked to CMP-0007"
CMP-0009,2026-08-01 12:10:00,en,"The washroom near the canteen is very dirty and has not been cleaned.","the washroom near the canteen is very dirty and has not been cleaned","Cleanliness and Waste","Housekeeping and Sanitation",Medium,Washroom,"Canteen Washroom",70,0,0,0,,10.0,Open,
CMP-0010,2026-08-01 12:45:00,en,"The campus bus for Route 3 arrived thirty minutes late today.","the campus bus for route 3 arrived thirty minutes late today","Transport and Parking","Transport Cell",Medium,"Campus Road","Route 3 Bus Stop",55,0,0,0,,24.0,Closed,"Delay due to vehicle maintenance"
CMP-0011,2026-08-01 13:10:00,ta_en,"Canteen food la hygiene illa and smell bad ah iruku.","canteen food la hygiene illa and smell bad ah iruku","Food and Canteen","Canteen Committee",High,Canteen,"Main Canteen",90,1,0,0,,5.0,In Progress,"Food inspection initiated"
CMP-0012,2026-08-01 14:00:00,en,"My bonafide certificate request has been pending for two weeks.","my bonafide certificate request has been pending for two weeks","Administration and Documents","Administrative Office",Low,Office,"Academic Office",1,0,0,0,,72.0,Open,
CMP-0013,2026-08-01 14:30:00,en,"The projector in the AI laboratory is not displaying anything.","the projector in the ai laboratory is not displaying anything","Classroom and Laboratory","Academic Infrastructure",Medium,Laboratory,"AI Laboratory",60,0,0,0,,16.0,Resolved,"HDMI cable replaced"
CMP-0014,2026-08-01 15:00:00,ta_en,"AI lab projector display varala.","ai lab projector display varala","Classroom and Laboratory","Academic Infrastructure",Medium,Laboratory,"AI Laboratory",60,0,1,1,CMP-0013,15.5,Resolved,"Linked to CMP-0013"
CMP-0015,2026-08-01 15:20:00,en,"The hostel room door lock is broken and does not close properly.","the hostel room door lock is broken and does not close properly","Hostel and Accommodation","Hostel Administration",High,Hostel,"Girls Hostel Room 214",2,1,0,0,,6.0,In Progress,"Carpenter assigned"
