complaint_id,complaint_text,normalized_text,category,department,priority,location_type,specific_location,is_duplicate,duplicate_of_id
CMP-00665,"Boys Hostel Washroom la pipe la water leak aagudhu, immediate ah solve pannunga.",boys hostel washroom la pipe la water leak aagudhu immediate ah solve pannunga,Water and Plumbing,Plumbing and Civil Maintenance,High,Canteen,Boys Hostel Washroom,0,
CMP-02261,ID card request delay aagudhu at Accounts Office. Kindly action edunga.,id card request delay aagudhu at accounts office kindly action edunga,Administration and Documents,Administrative Office,Low,Office,Accounts Office,0,
CMP-02141,Please check a vehicle is blocking the campus entrance at Route 3 Bus Stop.,please check a vehicle is blocking the campus entrance at route 3 bus stop,Transport and Parking,Transport Cell,Low,Parking,Route 3 Bus Stop,0,
CMP-01623,North Canteen இல் உணவு சுகாதாரமற்றதாக உள்ளது. உடனடியாக நடவடிக்கை எடுக்கவும்.,north canteen இல உணவ ச க த ரமற றத க உள ளத உடனட ய க நடவட க க எட க கவ ம,Food and Canteen,Canteen Committee,Low,Canteen,North Canteen,0,
CMP-01053,Urgent attention is needed because the room door lock is broken in Boys Hostel Block B.,urgent attention is needed because the room door lock is broken in boys hostel block b,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Boys Hostel Block B,0,
CMP-01501,window damage aagiruku at Boys Hostel Block B. Kindly action edunga.,window damage aagiruku at boys hostel block b kindly action edunga,Hostel and Accommodation,Hostel Administration,High,Hostel,Boys Hostel Block B,0,
CMP-01646,C-101 area la classroom ventilation poor ah iruku.,c 101 area la classroom ventilation poor ah iruku,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,0,
CMP-00402,Please check the bus route was changed without notice at Route 2 Bus Stop.,please check the bus route was changed without notice at route 2 bus stop,Transport and Parking,Transport Cell,Critical,Campus Road,Route 2 Bus Stop,0,
CMP-01073,Engineering Block area la current supply illa.,engineering block area la current supply illa,Electrical and Power,Electrical Maintenance,Medium,Classroom,Engineering Block,0,
CMP-01485,"C-204 la AC work aagala, immediate ah solve pannunga.",c 204 la ac work aagala immediate ah solve pannunga,Classroom and Laboratory,Academic Infrastructure,High,Classroom,C-204,0,
CMP-02039,There is a problem because the canteen service is very slow at North Canteen.,there is a problem because the canteen service is very slow at north canteen,Food and Canteen,Canteen Committee,High,Canteen,North Canteen,0,
CMP-00642,Central Library Reading Hall la ERP login aagala. Please check pannunga.,central library reading hall la erp login aagala please check pannunga,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,Central Library Reading Hall,0,
CMP-02766,Route 2 Bus Stop இல் வளாக பேருந்து தாமதமாக வந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,route 2 bus stop இல வள க ப ர ந த த மதம க வந தத உடனட ய க நடவட க க எட க கவ ம,Transport and Parking,Transport Cell,Critical,Parking,Route 2 Bus Stop,0,
CMP-03772,Boys Hostel Block B பகுதியில் அறை சுத்தம் செய்யப்படவில்லை. தயவுசெய்து சரிசெய்யவும்.,boys hostel block b பக த ய ல அற ச த தம ச ய யப படவ ல ல தயவ ச ய த சர ச ய யவ ம,Hostel and Accommodation,Hostel Administration,Medium,Hostel,Boys Hostel Block B,1,CMP-01053
CMP-03549,bus route notice illama change pannitanga at Route 2 Bus Stop. Kindly action edunga.,bus route notice illama change pannitanga at route 2 bus stop kindly action edunga,Transport and Parking,Transport Cell,Critical,Parking,Route 2 Bus Stop,1,CMP-02766
CMP-02569,garbage accumulate aagiruku at Girls Hostel Washroom. Kindly action edunga.,garbage accumulate aagiruku at girls hostel washroom kindly action edunga,Cleanliness and Waste,Housekeeping and Sanitation,High,Campus Road,Girls Hostel Washroom,0,
CMP-00656,fan work aagala at Hostel Block B. Kindly action edunga.,fan work aagala at hostel block b kindly action edunga,Electrical and Power,Electrical Maintenance,Medium,Hostel,Hostel Block B,0,
CMP-03012,I want to report that the student portal is not loading in Central Library Reading Hall.,i want to report that the student portal is not loading in central library reading hall,Wi-Fi and IT Services,IT Support and Network Cell,Medium,Laboratory,Central Library Reading Hall,1,CMP-00642
CMP-01991,Accounts Office பகுதியில் அடையாள அட்டை கோரிக்கை தாமதமாகிறது. தயவுசெய்து சரிசெய்யவும்.,accounts office பக த ய ல அட ய ள அட ட க ர க க த மதம க றத தயவ ச ய த சர ச ய யவ ம,Administration and Documents,Administrative Office,Low,Office,Accounts Office,0,
CMP-02861,wifi work aagala at Computer Laboratory. Kindly action edunga.,wifi work aagala at computer laboratory kindly action edunga,Wi-Fi and IT Services,IT Support and Network Cell,High,Classroom,Computer Laboratory,0,
CMP-01472,There is a problem because the room has a damaged window at Hostel Room 214.,there is a problem because the room has a damaged window at hostel room 214,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 214,0,
CMP-02635,Please check the water tank is overflowing at Engineering Block.,please check the water tank is overflowing at engineering block,Water and Plumbing,Plumbing and Civil Maintenance,Critical,Campus Building,Engineering Block,0,
CMP-01416,Computer Laboratory area la classroom bench broken ah iruku.,computer laboratory area la classroom bench broken ah iruku,Classroom and Laboratory,Academic Infrastructure,Medium,Classroom,Computer Laboratory,0,
CMP-00224,ஆய்வக உபகரணம் வேலை செய்யவில்லை பிரச்சனை C-101 இடத்தில் உள்ளது.,ஆய வக உபகரணம வ ல ச ய யவ ல ல ப ரச சன c 101 இடத த ல உள ளத,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,0,
CMP-02322,There is a problem because there is a broken glass panel at Library Entrance.,there is a problem because there is a broken glass panel at library entrance,Safety and Security,Security Office,Critical,Parking,Library Entrance,0,
CMP-02258,Engineering Block பகுதியில் படிக்கட்டு கைப்பிடி தளர்வாக உள்ளது. தயவுசெய்து சரிசெய்யவும்.,engineering block பக த ய ல பட க கட ட க ப ப ட தளர வ க உள ளத தயவ ச ய த சர ச ய யவ ம,Safety and Security,Security Office,Medium,Hostel,Engineering Block,0,
CMP-02742,"Library Entrance la unauthorized person hostel area la vandhirukanga, immediate ah solve pannunga.",library entrance la unauthorized person hostel area la vandhirukanga immediate ah solve pannunga,Safety and Security,Security Office,Medium,Campus Road,Library Entrance,0,
CMP-03605,Urgent attention is needed because the scholarship application status is not updated in Accounts Office.,urgent attention is needed because the scholarship application status is not updated in accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,1,CMP-02261
CMP-03701,C-101 area la lab equipment work aagala.,c 101 area la lab equipment work aagala,Classroom and Laboratory,Academic Infrastructure,Medium,Laboratory,C-101,1,CMP-00224
CMP-03386,"Engineering Block la pipe la water leak aagudhu, immediate ah solve pannunga.",engineering block la pipe la water leak aagudhu immediate ah solve pannunga,Water and Plumbing,Plumbing and Civil Maintenance,Critical,Campus Building,Engineering Block,1,CMP-02635
CMP-02465,உணவின் தரம் மோசமாக உள்ளது பிரச்சனை North Canteen இடத்தில் உள்ளது.,உணவ ன தரம ம சம க உள ளத ப ரச சன north canteen இடத த ல உள ளத,Food and Canteen,Canteen Committee,Low,Canteen,North Canteen,0,
CMP-01639,I want to report that the room has a damaged window in Hostel Room 214.,i want to report that the room has a damaged window in hostel room 214,Hostel and Accommodation,Hostel Administration,High,Hostel,Hostel Room 214,0,
CMP-00078,Central Library இல் ஈஆர்பி உள்நுழைவு தோல்வியடைந்தது. உடனடியாக நடவடிக்கை எடுக்கவும்.,central library இல ஈஆர ப உள ந ழ வ த ல வ யட ந தத உடனட ய க நடவட க க எட க கவ ம,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,Central Library,0,
CMP-02576,Hostel Block B இல் மின்பலகையின் அருகில் தண்ணீர் கசிகிறது. உடனடியாக நடவடிக்கை எடுக்கவும்.,hostel block b இல ம ன பலக ய ன அர க ல தண ண ர கச க றத உடனட ய க நடவட க க எட க கவ ம,Safety and Security,Security Office,Medium,Campus Road,Hostel Block B,0,
CMP-01364,North Canteen area la food hygiene illa.,north canteen area la food hygiene illa,Food and Canteen,Canteen Committee,Medium,Canteen,North Canteen,0,
CMP-01348,Examination Cell la fee payment portal la update aagala. Please check pannunga.,examination cell la fee payment portal la update aagala please check pannunga,Administration and Documents,Administrative Office,Low,Office,Examination Cell,0,
CMP-02963,I want to report that the bus is overcrowded in Route 1 Bus Stop.,i want to report that the bus is overcrowded in route 1 bus stop,Transport and Parking,Transport Cell,Medium,Parking,Route 1 Bus Stop,0,
CMP-03796,Please check the scholarship application status is not updated at Accounts Office.,please check the scholarship application status is not updated at accounts office,Administration and Documents,Administrative Office,Low,Office,Accounts Office,1,CMP-01991
CMP-03419,I want to report that water is leaking near an electrical panel in Engineering Block.,i want to report that water is leaking near an electrical panel in engineering block,Safety and Security,Security Office,Medium,Hostel,Engineering Block,1,CMP-02258
CMP-01816,Parking Area la campus street light work aagala. Please check pannunga.,parking area la campus street light work aagala please check pannunga,Safety and Security,Security Office,High,Parking,Parking Area,0,
CMP-00580,C-305 பகுதியில் மின்விசிறி வேலை செய்யவில்லை. தயவுசெய்து சரிசெய்யவும்.,c 305 பக த ய ல ம ன வ ச ற வ ல ச ய யவ ல ல தயவ ச ய த சர ச ய யவ ம,Electrical and Power,Electrical Maintenance,Medium,Classroom,C-305,0,
CMP-01700,Urgent attention is needed because an unauthorized person entered the hostel area in Campus Road.,urgent attention is needed because an unauthorized person entered the hostel area in campus road,Safety and Security,Security Office,Medium,Hostel,Campus Road,0,
CMP-01844,Computer Laboratory area la AC work aagala.,computer laboratory area la ac work aagala,Classroom and Laboratory,Academic Infrastructure,High,Laboratory,Computer Laboratory,0,
CMP-01663,Library Washroom area la waste area pakkathula bad smell iruku.,library washroom area la waste area pakkathula bad smell iruku,Cleanliness and Waste,Housekeeping and Sanitation,High,Washroom,Library Washroom,0,
CMP-02038,Computer Laboratory la current supply illa. Please check pannunga.,computer laboratory la current supply illa please check pannunga,Electrical and Power,Electrical Maintenance,Medium,Laboratory,Computer Laboratory,0,
CMP-02971,Hostel Block A area la internet romba slow ah iruku.,hostel block a area la internet romba slow ah iruku,Wi-Fi and IT Services,IT Support and Network Cell,Low,Classroom,Hostel Block A,0,
CMP-03400,Urgent attention is needed because the projector is not displaying in Computer Laboratory.,urgent attention is needed because the projector is not displaying in computer laboratory,Classroom and Laboratory,Academic Infrastructure,Medium,Classroom,Computer Laboratory,1,CMP-01416
CMP-00948,Hostel Block A area la student portal load aagala.,hostel block a area la student portal load aagala,Wi-Fi and IT Services,IT Support and Network Cell,High,Laboratory,Hostel Block A,0,
CMP-02218,glass panel broken ah iruku at Campus Road. Kindly action edunga.,glass panel broken ah iruku at campus road kindly action edunga,Safety and Security,Security Office,Medium,Parking,Campus Road,0,
